dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PCEPI,HOUST,SP500,EXUSUKx,GS5,GS10,BAAFFM
NaN,5,5,5,1,1,5,1,5,5,5,4,5,5,1,1,1
NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715570,7.71732932280536,11.2728205233594,17.16288657761,82.4769,5.6,7.40196477574955,40,5.59441572697352,0,0.820155985823234,7.39018142822643,30.0745931063098,1.45144094536134,3.99,3.99,2.05
715601,7.79776546336635,-4.29167951979643,25.2951798468311,83.9922,5.2,6.92906425141615,40.2,5.56845546780278,0,2.38272602484546,7.37148929521428,19.9192283332913,1.62012388710853,4.12,4.12,1.9
715631,6.99153139503821,14.3811783390358,17.9413531047432,84.9159,5.1,5.14265648453431,40.3,5.54273502755329,3.60902527674583,0.594942996817061,7.31188616407716,17.93880094862,-0.852424116824846,4.35,4.31,2.06
715662,3.72959665022528,4.37502237426166,1.36943706862507,84.7686,5,2.93198940986912,40.2,0,-3.60902527674583,3.4152098780492,7.31521838975297,-10.3968766816056,-0.853030069686866,4.5,4.34,1.65
715692,-0.702647787885269,-4.03791531246096,-29.0865138768797,82.9798,5.1,2.74643093322311,39.9,0,-3.61991224731089,2.5180531365077,7.34407285057307,46.695311084185,-0.341381887725944,4.58,4.4,1.61
715723,-6.83431957116447,7.19148586010796,-41.3593437640158,79.4676,5.2,-10.4835462366914,40,0,-3.63086509984463,1.77427336414162,7.26542972325395,-6.8491037032377,-0.939301264781278,4.57,4.43,1.59
715754,0.945980236496169,12.0014335163395,-1.44704034032337,79.0489,5.5,2.06811335891928,40,0,14.4580062194091,3.09867986506589,7.33953769540767,-48.4393800726178,-2.47986976305263,4.9,4.68,1.42
715784,1.46768838118554,-8.18797729222389,-8.75078468077906,78.1537,5.7,-1.57324016315954,39.6,0,-10.8271411195645,2.9437031810696,7.2115567333138,-1.05217016824106,1.11229954487859,4.72,4.53,1.3
715815,9.11538914348746,-0.534491406865634,7.29674488423253,78.5051,5.8,6.19113082585514,39.6,0,-3.63086509984463,0.734798871774345,7.25559127425367,4.83236230375255,-1.54038174119941,4.75,4.53,1.26
715845,12.2361778026043,-1.33727099146057,71.9775007091403,83.5682,5.3,12.0214718635509,40,16.4762313742826,0,1.39487948164518,7.37838371299671,37.7707678737192,-1.84249558612475,5.01,4.69,1.29
715876,3.83144789003751,3.34038741474778,31.0986650204748,85.5616,5.2,2.21304282256654,40.1,10.8598026239015,3.63086509984463,-0.660530275691151,7.28619171470238,-21.1125097359119,0.600192931664445,4.92,4.72,1.35
715907,1.3737303308833,5.19250782452421,-10.7242781062473,84.6108,4.8,5.27269731539306,39.7,5.39326750540705,0,1.24736322338475,7.31521838975297,-47.453683203809,1.49917029725373,4.69,4.49,1.37
715936,2.29170664291161,16.8858939714045,-10.8209847976584,83.2421,5.4,-1.29947611513117,39.5,5.36913647390551,10.8271411195645,0.659844220077765,7.01121398735037,-16.4623520434972,1.11245818421466,4.31,4.25,1.41
715967,4.1109809881366,18.4589026673741,-9.55340211656921,82.2593,5.2,7.88530023026155,39.8,-5.36913647390551,0,4.38971346725445,7.16162200293919,15.3862153020203,1.53862613236537,4.29,4.28,1.28
715997,2.88345403864092,-24.4999550973617,-1.37100165253123,81.4711,5.1,-7.42261352034532,39.6,5.36913647390551,0,1.24083828458268,7.14755927118945,-11.0320740953238,-1.49585986781595,4.49,4.35,1.43
716028,0.947152067615775,-0.263345587275055,-15.1802978733929,80.2236,5.4,-2.80087976232934,39.5,0,0,0.510560712761965,7.12849594568004,43.5325118015527,-1.4120920915575,4.12,4.15,1.94
